customer_id,tenure_months,monthly_charges,total_charges,num_users,num_support_tickets,last_login_days_ago,feature_adoption_pct,plan_type,payment_method,churned
CUST_00066,47,4788.59,191353.17,29,3,55,58.2,Pro,UPI,0
CUST_00067,7,2851.43,17749.75,22,3,84,17.8,Free,Card,1
CUST_00068,44,1486.03,62321.99,1,3,57,24.0,Free,UPI,1
CUST_00069,8,2565.34,20058.75,29,1,51,90.8,Pro,UPI,0
CUST_00070,47,4637.24,196206.3,48,3,60,15.4,Basic,UPI,1
CUST_00071,35,1292.43,45115.55,5,1,16,42.9,Basic,Card,0
CUST_00072,14,1462.81,17099.07,35,2,29,77.5,Pro,Card,0
CUST_00073,17,558.63,8023.54,10,2,71,89.4,Free,UPI,0
CUST_00074,36,563.86,18109.72,19,1,36,36.9,Free,UPI,0
CUST_00075,50,4232.26,190821.62,37,5,4,20.6,Pro,UPI,1
CUST_00076,40,3794.55,134311.2,7,1,25,75.0,Free,Net Banking,0
CUST_00077,4,2097.68,7434.84,46,2,69,78.4,Free,UPI,1
CUST_00078,2,3642.4,6537.74,35,1,79,98.1,Free,Net Banking,1
CUST_00079,6,2278.43,11811.84,45,4,0,18.3,Basic,Card,0
CUST_00080,54,4788.04,213614.51,13,2,8,72.4,Free,Card,0
CUST_00081,42,4851.74,201984.31,10,1,84,44.6,Pro,Card,0
CUST_00082,4,2267.57,8698.37,2,1,70,91.9,Enterprise,Card,1
CUST_00083,54,4344.0,225892.14,6,1,63,43.7,Free,Invoice,0
CUST_00084,29,3978.9,100732.86,8,3,78,47.4,Pro,Invoice,0
CUST_00085,18,1895.0,30043.3,36,1,23,17.0,Free,Net Banking,1
CUST_00086,26,1544.18,39633.52,25,1,4,35.5,Free,UPI,0
CUST_00087,44,2562.06,112119.94,44,3,50,43.1,Basic,Card,0
CUST_00088,34,4016.07,134979.4,47,3,37,6.7,Enterprise,Net Banking,1
CUST_00089,10,4820.76,44761.72,40,2,28,46.6,Enterprise,UPI,0
CUST_00090,36,3936.11,120238.54,7,0,45,37.0,Free,Invoice,0
CUST_00091,14,4348.43,56068.33,46,1,51,81.4,Free,Card,0
CUST_00092,31,3213.79,91439.84,23,2,45,15.2,Enterprise,Card,1
CUST_00093,48,4259.34,200696.09,19,1,74,77.2,Free,Invoice,0
CUST_00094,15,4029.89,52126.65,46,0,67,72.8,Pro,Invoice,0
CUST_00095,8,2196.43,14762.4,22,0,58,28.0,Free,Net Banking,1
CUST_00096,14,2983.96,35641.19,13,0,9,12.9,Basic,UPI,0
CUST_00097,23,4121.39,80443.22,21,2,3,85.0,Basic,Net Banking,0
CUST_00098,57,707.26,37478.83,1,0,51,28.7,Basic,Card,1
CUST_00099,40,4136.36,159247.64,19,0,73,18.8,Pro,Card,1
CUST_00100,21,1300.5,23859.07,33,5,17,39.1,Free,UPI,0
CUST_00101,16,2816.08,37635.56,4,3,75,43.1,Basic,Net Banking,0
CUST_00102,45,4137.24,161715.71,42,1,50,36.0,Basic,Card,0
CUST_00103,18,1642.19,26878.73,3,0,22,97.8,Free,UPI,0
CUST_00104,47,1606.13,70422.65,27,2,24,88.7,Free,UPI,0
CUST_00105,53,2312.44,111524.05,41,0,59,87.9,Free,UPI,0
CUST_00106,24,4525.89,92474.37,35,1,36,42.9,Free,Card,0
CUST_00107,26,501.99,12837.74,28,1,67,96.5,Enterprise,Card,0
CUST_00108,25,4556.22,101098.25,6,2,76,70.0,Basic,Net Banking,0
CUST_00109,45,1192.13,47841.05,6,2,17,84.0,Basic,UPI,0
CUST_00110,41,4955.39,201845.71,44,3,28,52.6,Pro,Net Banking,0
CUST_00111,29,4796.81,135445.28,23,2,29,20.3,Pro,Card,0
CUST_00112,15,2726.04,39306.25,33,2,6,89.3,Basic,Card,0
CUST_00113,45,2807.24,105676.36,16,2,87,51.2,Basic,Card,0
CUST_00114,1,2666.97,2580.61,24,0,40,97.0,Basic,Card,1
CUST_00115,25,3359.5,74838.05,5,2,73,29.2,Free,Card,1
CUST_00116,7,908.25,5352.45,41,0,36,99.3,Pro,Card,0
CUST_00117,9,646.78,5810.4,42,0,26,26.1,Pro,UPI,0
CUST_00118,24,759.66,15212.85,13,4,20,40.0,Basic,Net Banking,0
CUST_00119,1,2499.64,2460.61,47,2,42,61.4,Basic,Net Banking,0
CUST_00120,44,1739.97,61255.04,12,3,50,70.9,Basic,Invoice,0
CUST_00121,8,3299.18,23426.38,5,4,70,73.4,Basic,UPI,0
CUST_00122,24,4965.99,96059.63,37,4,12,50.2,Free,Card,0
CUST_00123,11,2238.45,24191.81,31,1,52,12.3,Free,Card,1
CUST_00124,51,3082.29,129715.3,28,3,86,52.1,Pro,Card,0
CUST_00125,17,2370.22,37659.32,28,1,62,36.8,Basic,Net Banking,0
CUST_00126,8,4312.72,31957.05,30,3,56,67.5,Free,Card,0
CUST_00127,35,4560.06,152549.87,18,1,24,22.3,Basic,Card,0
CUST_00128,35,4448.1,147802.11,44,2,12,42.4,Basic,Card,0
CUST_00129,33,4884.68,130001.67,27,3,36,96.8,Pro,Invoice,0
CUST_00130,59,623.84,32304.39,35,1,29,13.4,Pro,Net Banking,0
CUST_00131,5,4279.17,18496.81,26,4,89,62.2,Basic,Card,1
CUST_00132,42,3882.97,162200.34,39,2,11,13.6,Enterprise,Card,0
CUST_00133,39,1529.12,56950.8,49,0,64,19.9,Pro,Card,1
CUST_00134,58,4803.44,262327.07,18,1,17,62.5,Pro,Card,0
CUST_00135,41,1166.8,42501.52,33,0,84,47.2,Basic,Card,0
CUST_00136,28,3557.97,97450.74,25,1,61,57.1,Basic,Card,0
CUST_00137,7,1512.01,8502.86,31,4,23,88.6,Basic,UPI,0
CUST_00138,9,2441.21,18580.51,37,2,59,82.6,Basic,Card,0
CUST_00139,8,3736.22,28066.56,2,2,16,89.4,Pro,Invoice,0
CUST_00140,12,3034.96,32838.66,33,1,59,63.5,Free,Card,0
CUST_00141,34,2423.76,74724.25,39,1,8,51.5,Pro,Invoice,0
CUST_00142,33,1968.52,57378.18,43,4,51,48.6,Basic,Net Banking,0
CUST_00143,48,4278.47,171130.24,43,4,14,75.3,Free,Net Banking,0
CUST_00144,55,1147.16,52572.55,32,1,76,54.5,Basic,Net Banking,0
CUST_00145,23,2435.46,48111.57,18,4,27,15.0,Free,UPI,1
CUST_00146,24,4566.91,97950.57,17,0,80,18.5,Free,UPI,1
CUST_00147,37,4306.32,153729.3,34,2,8,38.9,Pro,Card,0
CUST_00148,35,2304.24,71725.98,39,0,55,11.4,Pro,Card,1
CUST_00149,44,3933.99,169557.32,7,2,84,27.7,Free,Card,1
CUST_00150,40,4204.22,138588.47,42,1,74,67.4,Enterprise,Card,0
CUST_00151,22,4499.99,84580.92,35,3,35,6.2,Free,Card,1
CUST_00152,27,2950.28,64849.6,30,3,55,62.4,Basic,Card,0
CUST_00153,35,1420.07,44831.86,12,0,88,78.4,Free,Net Banking,0
CUST_00154,1,1648.89,1348.8,35,2,70,21.2,Free,Net Banking,1
CUST_00155,35,1830.63,61453.86,11,0,19,22.2,Free,UPI,1
CUST_00156,37,3172.11,94827.85,44,2,54,7.7,Pro,Card,1
CUST_00157,47,647.64,27245.37,4,1,59,53.7,Enterprise,Card,0
CUST_00158,14,3362.19,41616.25,25,3,34,67.2,Pro,Card,0
CUST_00159,3,2139.59,5394.63,48,2,73,48.4,Basic,UPI,0
CUST_00160,1,1828.59,1677.49,32,1,0,42.0,Pro,Invoice,0
CUST_00161,5,4457.73,19552.04,20,2,77,48.2,Basic,Card,1
CUST_00162,26,2570.01,56101.85,31,3,44,79.2,Basic,UPI,0
CUST_00163,55,927.74,49255.75,4,3,68,8.2,Pro,UPI,1
CUST_00164,14,4220.36,55075.48,38,0,39,79.5,Enterprise,Card,0
CUST_00165,39,714.39,22356.69,47,1,37,68.3,Free,Invoice,0
CUST_00166,27,3770.37,91657.96,1,4,23,27.9,Basic,Card,0
CUST_00167,9,3982.58,30619.48,3,3,3,54.9,Basic,Invoice,0
CUST_00168,15,2086.71,30769.24,37,1,68,9.7,Basic,UPI,1
CUST_00169,15,4211.55,59706.06,22,0,12,41.1,Basic,Card,0
CUST_00170,26,2820.47,67635.99,17,4,20,21.5,Basic,Card,0
CUST_00171,42,2584.82,88783.54,14,1,31,7.1,Free,Card,1
CUST_00172,13,704.31,9029.03,41,3,37,38.9,Basic,Card,0
CUST_00173,51,1805.13,76304.38,35,1,31,74.0,Basic,Invoice,0
CUST_00174,32,4689.54,133580.51,13,2,78,92.5,Basic,Net Banking,0
CUST_00175,39,2263.21,82634.6,35,4,56,67.9,Pro,UPI,0
CUST_00176,49,2960.15,130390.87,43,1,47,43.2,Basic,UPI,0
CUST_00177,52,2894.1,146955.71,2,4,29,100.0,Free,Card,0
CUST_00178,32,3156.94,97695.25,47,2,70,31.9,Free,Card,0
CUST_00179,4,775.99,2567.2,13,3,37,22.8,Free,Card,1
CUST_00180,30,2129.79,59007.57,16,4,43,49.0,Free,Card,0
CUST_00181,37,3754.08,112570.98,18,5,25,53.0,Basic,Card,0
CUST_00182,23,1402.52,30455.24,7,1,89,38.7,Pro,UPI,0
CUST_00183,39,1416.1,52312.1,45,2,1,71.1,Basic,Card,0
CUST_00184,45,545.41,21325.76,36,3,42,22.5,Pro,Invoice,1
CUST_00185,15,2468.67,35449.56,41,0,42,53.5,Free,Card,0
CUST_00186,43,4472.3,178951.22,30,1,62,52.5,Free,Card,0
CUST_00187,29,733.55,19162.89,42,2,72,83.3,Free,UPI,0
CUST_00188,36,1360.03,43626.99,41,0,57,93.1,Enterprise,Net Banking,0
CUST_00189,13,1895.38,20249.8,7,2,47,68.0,Basic,Invoice,0
CUST_00190,32,3792.76,109986.5,15,4,4,34.0,Basic,UPI,0
CUST_00191,7,3382.86,19683.31,40,3,75,70.5,Free,Card,0
CUST_00192,59,2371.75,130306.69,19,2,34,28.9,Pro,Invoice,1
CUST_00193,51,3915.81,183518.67,43,4,15,96.8,Pro,Invoice,0
CUST_00194,22,3243.34,61228.86,37,3,82,83.1,Basic,Invoice,0
CUST_00195,28,4532.18,107789.72,2,0,48,46.0,Pro,Net Banking,0
CUST_00196,2,4181.12,7485.98,42,2,59,79.5,Basic,Card,1
CUST_00197,42,1637.66,62075.34,48,5,50,43.8,Free,Net Banking,1
CUST_00198,45,1721.47,74335.36,13,1,81,12.1,Pro,Invoice,1
CUST_00199,57,1064.1,52210.2,40,2,58,72.1,Enterprise,UPI,0
CUST_00200,53,2016.34,94115.25,41,2,63,43.4,Basic,Net Banking,0
CUST_00201,6,4997.95,26049.09,43,2,12,93.4,Free,UPI,0
CUST_00202,28,2325.88,57233.05,43,1,25,34.1,Free,Card,0
CUST_00203,28,1492.2,38164.12,31,2,69,85.1,Enterprise,UPI,0
CUST_00204,44,3931.17,157662.51,16,0,2,69.6,Basic,Net Banking,0
CUST_00205,44,2941.12,112879.63,42,0,86,86.1,Pro,UPI,0
CUST_00206,20,1173.21,21598.49,44,0,11,32.7,Basic,UPI,0
CUST_00207,30,2213.1,61294.61,6,2,40,48.8,Basic,UPI,0
CUST_00208,11,2365.11,23554.54,28,5,78,83.2,Free,Card,1
CUST_00209,58,3892.23,201023.54,32,3,64,66.2,Free,UPI,0
CUST_00210,55,593.02,26601.28,44,4,62,39.2,Basic,UPI,0
CUST_00211,28,1710.59,43502.19,10,1,49,53.6,Enterprise,Card,0
CUST_00212,25,2829.18,66665.38,18,2,46,99.6,Free,Net Banking,0
CUST_00213,39,1709.81,56217.79,4,3,7,75.5,Basic,Invoice,0
CUST_00214,33,3327.95,104942.62,9,2,30,63.4,Pro,Card,0
CUST_00215,1,2668.4,2447.69,7,3,10,83.7,Basic,UPI,0
CUST_00216,57,2127.7,102784.38,8,5,16,47.0,Basic,UPI,0
CUST_00217,27,4771.44,107261.67,43,3,26,95.3,Pro,UPI,0
CUST_00218,57,3344.72,161876.34,7,1,26,57.4,Pro,Card,0
CUST_00219,52,1084.74,53688.66,41,2,77,36.1,Basic,UPI,0
CUST_00220,13,3020.41,33379.55,40,1,86,13.2,Pro,Card,1
CUST_00221,41,4013.29,154120.11,3,2,55,40.7,Basic,Card,0
CUST_00222,3,3688.2,10059.53,17,1,68,59.0,Pro,Card,1
CUST_00223,39,1274.4,45197.1,2,2,46,71.8,Free,UPI,0
CUST_00224,6,4875.89,28392.89,15,1,18,88.1,Basic,Card,0
CUST_00225,8,2519.66,19652.25,46,3,56,94.7,Free,Card,0
CUST_00226,27,1215.61,29781.6,29,3,30,14.7,Basic,Card,0
CUST_00227,9,1310.88,9592.39,48,3,15,62.1,Free,Card,0
CUST_00228,37,942.06,29008.63,22,0,44,68.3,Pro,Card,0
CUST_00229,33,4115.83,134427.97,4,0,26,21.3,Pro,Card,0
CUST_00230,51,1049.14,44246.24,6,1,60,56.8,Pro,Net Banking,0
CUST_00231,42,1063.06,43178.26,38,1,25,36.8,Basic,UPI,0
CUST_00232,44,4327.12,172892.59,26,4,28,12.4,Pro,UPI,0
CUST_00233,24,2050.72,40496.1,11,1,43,11.3,Pro,UPI,1
CUST_00234,15,638.86,9428.62,26,2,28,77.1,Basic,Invoice,0
CUST_00235,59,733.53,42655.97,17,1,1,63.5,Basic,UPI,0
CUST_00236,54,1139.77,56812.87,24,2,5,72.9,Basic,Card,0
CUST_00237,32,1460.27,41017.09,28,0,8,70.1,Free,Invoice,0
CUST_00238,32,3493.16,103006.27,35,4,14,17.8,Enterprise,Card,0
CUST_00239,24,1207.97,26832.94,31,2,83,19.4,Basic,Invoice,1
CUST_00240,41,1034.93,39225.43,13,0,57,29.0,Basic,UPI,1
CUST_00241,52,3941.24,194017.18,35,2,1,42.9,Pro,Card,0
CUST_00242,49,3519.75,140290.25,16,3,2,94.2,Free,Net Banking,0
CUST_00243,49,2458.96,98861.98,15,2,51,69.0,Free,Card,0
CUST_00244,58,2971.89,147644.18,43,2,54,29.2,Free,Card,1
CUST_00245,52,1903.93,86127.7,18,2,52,10.3,Basic,UPI,1
CUST_00246,12,2671.25,29734.41,47,0,71,70.0,Free,UPI,0
CUST_00247,39,2780.03,90463.91,37,0,39,64.4,Pro,Card,0
CUST_00248,2,2242.57,4073.43,48,1,84,69.2,Basic,UPI,0
CUST_00249,3,4579.57,11500.23,48,3,38,29.8,Basic,Net Banking,1
CUST_00250,49,572.28,24427.07,49,4,42,54.1,Free,Card,0
CUST_00251,37,4019.77,146812.83,41,2,12,39.4,Free,UPI,0
CUST_00252,49,1059.72,50843.09,27,2,36,82.7,Pro,Invoice,0
CUST_00253,56,4088.96,226834.09,35,2,54,11.6,Free,Invoice,1
CUST_00254,17,3271.6,51072.38,45,0,31,31.2,Pro,Card,0
CUST_00255,59,4294.75,228117.12,35,0,13,62.3,Free,Net Banking,0
CUST_00256,49,938.81,44611.66,28,0,64,24.5,Basic,Net Banking,1
CUST_00257,2,3015.41,4920.74,39,0,26,68.9,Basic,Net Banking,0
CUST_00258,2,2754.9,5486.05,38,1,23,18.0,Basic,Card,1
CUST_00259,28,3677.87,91907.34,9,2,21,7.2,Enterprise,Card,0
CUST_00260,54,2904.31,146663.28,12,3,77,87.0,Basic,Card,0
CUST_00261,23,2933.31,63802.31,15,6,44,36.7,Pro,Card,0
CUST_00262,37,2433.18,83344.72,21,3,7,19.9,Free,Card,1
CUST_00263,32,1889.75,59160.06,35,2,66,21.4,Basic,Net Banking,1
CUST_00264,33,2670.19,75571.36,42,2,63,89.2,Free,Card,0
CUST_00265,1,1033.22,936.57,33,0,46,67.2,Basic,Net Banking,1
CUST_00266,19,4826.81,81260.12,19,1,20,95.9,Basic,Card,0
CUST_00267,2,3714.85,6990.05,23,2,31,81.0,Basic,UPI,1
CUST_00268,53,4786.1,222975.88,13,1,44,77.9,Pro,Card,0
CUST_00269,44,1520.27,65458.52,44,1,43,52.5,Pro,UPI,0
CUST_00270,26,4457.03,104072.71,1,0,40,83.0,Pro,UPI,0
CUST_00271,32,4139.55,120173.01,29,0,51,44.2,Free,UPI,0
CUST_00272,6,3547.19,19126.7,24,3,87,83.6,Basic,Card,0
CUST_00273,32,3312.63,98003.73,16,1,10,77.0,Basic,Card,0
CUST_00274,55,1924.47,95481.46,25,1,84,69.5,Free,UPI,0
CUST_00275,4,4173.85,16486.43,23,4,17,36.3,Basic,Card,0
CUST_00276,55,2756.82,125276.37,28,3,10,64.9,Free,Card,0
CUST_00277,11,819.01,7231.48,47,2,26,53.1,Enterprise,Card,0
CUST_00278,56,1907.88,96622.69,16,5,42,48.8,Pro,Net Banking,0
CUST_00279,59,4708.84,264743.43,43,2,64,99.1,Pro,UPI,0
CUST_00280,17,4328.06,68400.08,38,1,53,52.9,Enterprise,Card,0
CUST_00281,38,4918.58,185513.0,11,4,28,8.0,Pro,Card,0
CUST_00282,24,3325.97,66768.61,3,4,20,64.5,Free,Card,0
CUST_00283,5,1613.8,7575.15,15,4,28,74.2,Pro,Card,0
CUST_00284,52,1232.67,61738.31,1,3,8,89.1,Free,Net Banking,0
CUST_00285,34,1341.11,44795.8,7,1,60,65.1,Free,Invoice,0
CUST_00286,6,589.08,3201.21,1,3,61,6.8,Free,Card,1
CUST_00287,22,2258.07,43349.68,49,0,70,16.4,Free,UPI,1
CUST_00288,11,1361.42,14841.92,32,0,4,20.3,Pro,UPI,0
CUST_00289,48,2352.45,108208.28,9,4,14,25.1,Pro,UPI,0
CUST_00290,16,4707.47,67348.36,29,5,56,81.0,Free,Card,1
CUST_00291,33,2437.43,74823.49,26,2,4,34.4,Free,UPI,0
CUST_00292,9,4450.93,34278.56,23,1,19,34.7,Free,Card,0
CUST_00293,59,3224.77,175605.28,45,1,80,76.8,Basic,UPI,0
CUST_00294,6,1612.09,8782.72,43,1,3,44.2,Basic,Card,0
CUST_00295,16,2101.35,27161.04,29,3,55,11.1,Enterprise,Net Banking,1
CUST_00296,29,877.64,24768.17,38,0,84,60.6,Free,Net Banking,0
CUST_00297,3,2000.58,5389.79,33,2,33,17.4,Enterprise,Card,1
CUST_00298,20,3548.93,63593.09,7,0,39,59.3,Free,Card,0
CUST_00299,59,824.5,41673.92,12,2,68,79.1,Basic,UPI,0
CUST_00300,36,1424.31,43034.09,31,0,67,93.3,Free,Invoice,0
CUST_00301,19,2216.48,36144.61,32,5,21,11.4,Basic,Net Banking,1
CUST_00302,26,4919.22,118946.24,20,2,13,33.9,Free,Card,0
CUST_00303,3,4031.88,9912.74,17,2,67,67.0,Pro,Card,1
CUST_00304,19,3800.69,62577.92,36,7,7,35.0,Free,Invoice,0
CUST_00305,20,1022.86,20370.22,3,1,66,47.8,Basic,UPI,0
CUST_00306,32,4014.48,109746.98,1,3,45,6.9,Free,Card,1
CUST_00307,7,4033.71,28047.66,27,0,28,70.9,Basic,Net Banking,0
CUST_00308,52,3204.96,136819.84,47,1,89,88.9,Free,Card,0
CUST_00309,41,4956.63,194848.49,40,2,11,97.8,Enterprise,UPI,0
CUST_00310,33,1963.64,57539.11,33,1,78,83.9,Free,UPI,0
CUST_00311,40,4735.73,158924.16,20,2,51,8.0,Basic,Net Banking,1
CUST_00312,39,4616.29,172381.02,14,0,57,66.9,Basic,Card,0
CUST_00313,18,551.66,7957.77,36,1,1,52.1,Pro,Card,0
CUST_00314,40,2525.52,87830.32,5,0,0,94.1,Free,Net Banking,0
CUST_00315,1,4896.97,4509.97,23,4,54,90.7,Pro,Net Banking,0
CUST_00316,11,964.05,8973.51,45,2,33,98.9,Basic,Card,0
CUST_00317,28,2965.03,71938.11,15,1,63,86.9,Basic,Card,0
CUST_00318,57,4905.31,228796.26,6,0,67,57.0,Free,Card,0
CUST_00319,25,2999.73,72791.63,33,8,81,72.9,Basic,UPI,0
CUST_00320,50,1354.17,59883.65,19,1,11,96.6,Basic,Card,0
CUST_00321,23,3119.82,59489.84,13,3,49,59.9,Free,Card,0
CUST_00322,31,1419.98,36968.3,29,2,20,84.8,Free,UPI,0
CUST_00323,30,2838.67,72814.73,6,1,9,94.5,Pro,Invoice,0
CUST_00324,42,833.19,29601.17,15,1,84,59.2,Free,Invoice,0
CUST_00325,35,3224.67,101651.75,16,4,88,20.1,Free,Card,1
CUST_00326,7,2825.55,19403.91,24,1,80,19.8,Basic,UPI,1
CUST_00327,16,3830.73,51287.84,23,1,69,16.0,Free,Card,1
CUST_00328,26,3338.15,77304.62,48,2,13,50.3,Basic,Card,0
CUST_00329,48,2973.23,133122.58,10,2,39,50.6,Basic,UPI,0
CUST_00330,57,3604.0,171893.69,41,0,81,63.7,Free,Net Banking,0
CUST_00331,52,1147.74,49584.11,41,2,29,50.9,Basic,Net Banking,0
CUST_00332,49,3179.12,129461.89,49,1,72,97.4,Free,Invoice,0
CUST_00333,2,1274.5,2488.84,17,3,13,32.7,Basic,Invoice,0
CUST_00334,1,4664.85,4395.47,49,1,51,88.0,Enterprise,Card,1
CUST_00335,48,807.5,33615.53,44,2,16,14.5,Basic,Invoice,0
CUST_00336,12,2436.69,28670.45,45,6,61,62.2,Pro,Card,1
CUST_00337,5,3631.09,17986.77,30,3,21,66.6,Basic,Net Banking,0
CUST_00338,37,2561.1,83356.7,44,0,52,78.4,Pro,UPI,0
CUST_00339,32,914.43,26396.73,46,2,31,52.8,Pro,UPI,0
CUST_00340,59,2990.21,153772.74,10,4,75,23.7,Free,Card,1
CUST_00341,55,3387.34,157521.86,19,0,54,40.1,Basic,Card,0
CUST_00342,9,3667.07,31551.54,29,3,79,30.9,Pro,UPI,0
CUST_00343,41,2179.67,83094.06,2,2,21,44.8,Basic,Invoice,0
CUST_00344,35,3036.47,92819.52,36,3,37,55.3,Free,Card,0
CUST_00345,19,2528.09,38565.11,19,2,49,64.4,Free,Card,0
CUST_00346,48,3524.25,161168.41,7,3,65,85.3,Free,Card,0
CUST_00347,16,3126.01,44788.19,26,1,44,91.5,Pro,Card,0
CUST_00348,3,2865.9,7003.83,15,3,7,48.9,Basic,Card,0
CUST_00349,20,1622.86,26773.96,47,1,64,13.4,Basic,Card,1
CUST_00350,24,509.08,11309.83,38,5,39,80.7,Basic,Card,1
CUST_00351,54,1283.37,63013.97,3,0,4,50.3,Free,Invoice,0
CUST_00352,56,1026.8,48766.18,38,6,44,56.9,Free,Net Banking,1
CUST_00353,33,2520.88,68878.52,16,3,45,61.6,Basic,Card,0
CUST_00354,24,3255.16,76322.84,2,2,35,68.4,Free,Invoice,0
CUST_00355,52,1458.88,62735.66,31,3,16,89.6,Free,Card,0
CUST_00356,11,4725.76,42477.44,28,1,40,95.5,Free,Net Banking,0
